Quantity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Average Outdoor Air Dry Bulb (F),40.3,38.7,43.5,45.4,51.9,57.6,62.9,61.3,55.7,49.8,44.4,41
Cooling Load (MBtu) DG,0,0.01,1.86,5.68,26.01,55.37,80.38,62.19,24.73,1.95,0.02,0
Heating Load (MBtu) DG,212.93,139.89,61.42,22.08,0.71,0,0,0,0.11,15.65,110.26,173.47
Average Outdoor Air Dry Bulb (C),4.611111111,3.722222222,6.388888889,7.444444444,11.05555556,14.22222222,17.16666667,16.27777778,13.16666667,9.888888889,6.888888889,5
Cooling Load (kWh) DG,0,2.9307107,545.1121902,1664.643678,7622.778531,16227.34515,23557.05261,18226.08984,7247.647561,571.4885865,5.8614214,0
Heating Load (kWh) DG,62403.62294,40997.71198,18000.42512,6471.009226,208.0804597,0,0,0,32.2378177,4586.562246,32314.01618,50839.03851
Cooling Load (EC) (Mbtu),0,0,0.17,0.38,4.97,24.73,47.3,34.97,8.68,0.21,0,0
Heating Load EC (MBtu),205.18,143.96,85.49,50.32,3.28,0.02,0,0.01,0.65,29.62,114.91,167.32
CL EC (kWh),0,0,49.8220819,111.3670066,1456.563218,7247.647561,13862.26161,10248.69532,2543.856888,61.5449247,0,0
HL EC (kWh),60132.32214,42190.51124,25054.64577,14747.33624,961.2731096,5.8614214,0,2.9307107,190.4961955,8680.765093,33676.79665,49036.65143
Cooling Load (Mbtu GC,0,0,0.84,2.37,15.13,40.14,63.02,48.58,17.98,1.13,0.01,0
Heating Load (MBtu) GC,179.04,117.03,56.18,23.69,0.75,0.01,0,0,0.12,12.96,90.48,142.89
CL GC (kWh) (22),0,0,246.1796988,694.5784359,4434.165289,11763.87275,18469.33883,14237.39258,5269.417839,331.1703091,2.9307107,0
HL GC (kWh),52471.44437,34298.10732,16464.73271,6942.853648,219.8033025,2.9307107,0,0,35.1685284,3798.201067,26517.07041,41876.92519
Cooling Load (MBtu) SG,0,0,0.82,2.14,13.89,43.61,72.01,51.75,12.76,0.59,0,0
Heating Load (MBtu) Sg,342.09,245.7,140.43,83.74,11.01,0.09,0,0.06,2.35,72.33,207.27,286.29
CL SG (kWh),0,0,240.3182774,627.1720898,4070.757162,12780.82936,21104.04775,15166.42787,3739.586853,172.9119313,0,0
HL SG (kWh),100256.6823,72007.5619,41155.97036,24541.7714,3226.712481,26.3763963,0,17.5842642,688.7170145,21197.83049,60744.84068,83903.31663
