Quantity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
Cooling Load (HZT 24),0,2.9307107,357.5467054,999.3723487,5061.337379,11875.23976,18486.9231,14281.35324,5433.537638,424.9530515,5.8614214,0
Heating Load,52272.15605,33703.17305,14791.2969,5269.417839,155.3276671,0,0,0,26.3763963,2798.828719,25681.81786,41592.64625
Heat Gain,4967.847708,9686.702234,20387.40106,28113.7216,33193.66899,34463.45802,38778.37269,32799.4591,21894.66558,15183.77768,7210.398228,4639.227117
Heat Loss,20708.46042,16982.55999,15098.66984,12519.9375,10290.13557,7475.686161,6476.782726,7970.038442,10319.09099,13407.18085,16286.80927,20202.06292
,,,,,,,,,,,,
Cooling Load (HZT 20),0,0,219.8033025,633.0335112,4390.204629,11758.01133,18469.33883,14234.46187,5260.625707,325.3088877,2.9307107,0
Heating Load,54437.95125,36918.16269,18419.51675,8610.428037,263.763963,0,0,0,35.1685284,4398.996761,28190.50622,43441.92471
Heat Gain,3556.739813,7033.295381,16209.4092,23091.74367,30775.9792,34195.44453,38734.35342,32651.34098,21163.2188,12337.41283,5259.218965,3381.073013
Heat Loss,21326.34216,17351.09686,15168.80175,12564.30846,10342.18499,7515.514519,6483.845738,7989.00014,10345.23293,13338.36777,16565.725,20611.4832
,,,,,,,,,,,,
Cooling Load (HZT 22),0,0,246.1796988,694.5784359,4434.165289,11763.87275,18469.33883,14237.39258,5269.417839,331.1703091,2.9307107,0
Heating Load,52471.44437,34298.10732,16464.73271,6942.853648,219.8033025,2.9307107,0,0,35.1685284,3798.201067,26517.07041,41876.92519
Heat Gain,4787.607856,9049.182574,18089.74886,24909.27657,30927.89986,34209.56238,38737.33349,32657.07737,21192.63807,13094.93981,6470.568074,4385.04553
Heat Loss,20713.086,16982.46801,15034.39577,12458.3896,10329.93215,7515.131732,6483.756269,7988.675854,10343.09104,13294.96077,16260.57552,20206.01455
,,,,,,,,,,,,
Cooling Load (HOT 20),0,2.9307107,448.3987371,1427.256111,6934.061516,14477.71086,20526.69774,16165.80022,7180.241215,609.5878256,2.9307107,0
Heating Load,52269.22533,33662.1431,14307.72964,4700.859963,108.4362959,0,0,0,17.5842642,2537.995466,25567.52015,41592.64625
Heat Gain,4971.012875,9730.721509,21500.45568,30646.61763,39739.76303,42327.75642,44868.62398,38640.30691,27407.3031,16378.77497,7274.932478,4639.227117
Heat Loss,20708.54834,16984.08396,15178.00418,12633.79561,10409.35688,7452.855924,6410.548664,7950.431987,10385.20782,13510.57633,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (HOT 22),0,2.9307107,448.3987371,1427.256111,6995.606441,14785.43548,21098.18633,16540.93119,7186.102636,609.5878256,2.9307107,0
Heating Load,52269.22533,33662.1431,14307.72964,4700.859963,108.4362959,0,0,0,17.5842642,2537.995466,25567.52015,41592.64625
Heat Gain,4971.012875,9730.721509,21500.45568,30646.61763,39949.33815,43296.26838,46714.67865,39720.18588,27422.92378,16378.77497,7274.932478,4639.227117
Heat Loss,20708.54834,16984.08396,15178.00418,12633.79561,10415.42345,7463.582325,6427.195101,7962.037601,10385.58881,13510.57633,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (HOT 18),0,2.9307107,448.3987371,1427.256111,6828.555931,14126.02557,19723.68301,15521.04387,6986.814309,609.5878256,2.9307107,0
Heating Load,52269.22533,33662.1431,14307.72964,4700.859963,108.4362959,0,0,0,17.5842642,2537.995466,25567.52015,41592.64625
Heat Gain,4971.012875,9730.721509,21500.45568,30646.61763,39388.89834,41235.01163,42378.69217,36702.08139,26817.84925,16378.77497,7274.932478,4639.227117
Heat Loss,20708.54834,16984.08396,15178.00418,12633.79561,10401.29742,7443.360422,6395.103818,7933.902779,10372.57646,13510.57633,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (HSW 1000),0,2.9307107,451.3294478,1436.048243,7060.082076,14970.07026,21783.97263,17074.32054,7221.271165,615.449247,2.9307107,0
Heating Load,52234.05681,33571.29107,14184.63979,4621.730774,105.5055852,0,0,0,17.5842642,2461.796988,25450.29172,41498.86351
Heat Gain,4971.012875,9730.721509,21500.45568,30646.61763,40023.71959,43654.45985,48610.5554,41201.42568,27422.92378,16378.77497,7274.903171,4639.227117
Heat Loss,20708.57765,16984.08396,15178.00418,12633.79561,10417.76802,7468.183541,6447.417004,7978.889188,10385.58881,13510.60563,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (ALL OFF),0,2.9307107,451.3294478,1436.048243,7060.082076,14970.07026,21783.97263,17074.32054,7221.271165,615.449247,2.9307107,0
Heating Load,52234.05681,33571.29107,14184.63979,4621.730774,105.5055852,0,0,0,17.5842642,2461.796988,25450.29172,41498.86351
Heat Gain,4971.012875,9730.721509,21500.45568,30646.61763,40023.71959,43654.45985,48610.5554,41201.42568,27422.92378,16378.77497,7274.903171,4639.227117
Heat Loss,20708.57765,16984.08396,15178.00418,12633.79561,10417.76802,7468.183541,6447.417004,7978.889188,10385.58881,13510.60563,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (ALL ON),0,0,219.8033025,633.0335112,4384.343207,11755.08062,18469.33883,14234.46187,5260.625707,325.3088877,2.9307107,0
Heating Load,54443.81267,36929.88553,18434.1703,8622.150879,266.6946737,0,0,0,35.1685284,4404.858182,28199.29836,43447.78613
Heat Gain,3551.435226,7023.565421,16192.70415,23068.12214,30762.17556,34192.07421,38732.38984,32649.81701,21161.48968,12328.56209,5252.243874,3376.178726
Heat Loss,21328.39365,17352.06399,15168.88967,12564.074,10341.92123,7515.485212,6483.845738,7989.029447,10345.49669,13338.19192,16566.48699,20612.7141
,,,,,,,,,,,,
Cooling Load (HZT 26),0,2.9307107,451.3294478,1436.048243,7033.70568,14923.17888,21728.28913,17027.42917,7197.825479,615.449247,2.9307107,0
Heating Load,52236.98752,33574.22178,14187.5705,4624.661485,105.5055852,0,0,0,17.5842642,2461.796988,25453.22243,41501.79422
Heat Gain,4971.012875,9730.721509,21499.89884,30637.8255,39949.25023,43514.98732,48448.0475,41064.20981,27355.7812,16377.60268,7274.903171,4639.227117
Heat Loss,20708.57765,16984.08396,15178.00418,12633.7663,10417.44564,7468.505919,6447.475619,7978.537503,10385.06129,13510.48841,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (HOT 16),0,2.9307107,433.7451836,1412.602557,6567.722679,13463.68496,19020.31244,14908.52533,6368.434351,600.7956935,2.9307107,0
Heating Load,52269.22533,33662.1431,14339.96746,4706.721384,111.3670066,0,0,0,17.5842642,2543.856888,25567.52015,41592.64625
Heat Gain,4971.012875,9730.721509,21339.61828,30581.20417,38445.53188,39219.38604,40233.00164,34748.99716,25005.96667,16300.9646,7274.932478,4639.227117
Heat Loss,20708.54834,16984.08396,15163.05756,12631.04074,10376.94322,7428.413797,6393.46262,7914.823852,10336.64595,13500.5533,16296.30477,20202.06292
,,,,,,,,,,,,
Cooling Load (HSW 500),0,0,348.7545733,1219.175651,6573.5841,14345.82888,21227.1376,16596.61469,6939.922938,530.4586367,2.9307107,0
Heating Load,52383.52305,34007.96696,14753.19766,5014.446008,120.1591387,0,0,0,20.5149749,2628.847498,25781.46203,41665.91402
Heat Gain,4839.717036,9375.167687,20474.5604,29359.59603,38472.93402,41870.7707,46979.79074,39786.36133,26526.03839,15813.64602,7082.208942,4532.168255
Heat Loss,20704.03505,16973.1231,15109.51347,12570.14057,10376.38638,7447.316881,6432.353151,7964.733855,10363.08096,13474.00106,16281.65122,20198.31161
,,,,,,,,,,,,
Cooling Load (HSW 750),0,2.9307107,439.606605,1406.741136,7057.151366,14970.07026,21783.97263,17074.32054,7218.340454,615.449247,2.9307107,0
Heating Load,52234.05681,33635.7667,14237.39258,4645.17646,105.5055852,0,0,0,17.5842642,2473.519831,25462.01456,41498.86351
Heat Gain,4971.012875,9672.605516,21388.32669,30492.31571,40024.07127,43654.45985,48610.5554,41201.42568,27412.10946,16353.89323,7275.166935,4639.227117
Heat Loss,20708.57765,16981.91523,15170.32572,12626.96705,10417.38703,7468.183541,6447.417004,7978.889188,10385.20782,13509.49196,16295.66001,20202.06292
,,,,,,,,,,,,
Cooling Load (HSW 250),0,0,290.1403593,958.3423989,5752.985104,13484.19993,20218.97312,15793.59996,6435.840697,445.4680264,2.9307107,0
Heating Load,52940.35808,34670.30758,15550.35097,5946.41201,146.535535,0,0,0,23.4456856,2948.294964,26297.26711,42164.13484
Heat Gain,4302.488457,8761.447559,19285.48315,27233.18957,35632.13753,39254.78902,43901.98767,37304.98719,24876.57579,14964.4726,6636.242695,4077.790868
Heat Loss,20687.82822,16955.62675,15037.41799,12454.58265,10284.80167,7410.976068,6400.027412,7930.561768,10312.17451,13399.47308,16253.10609,20184.6838
,,,,,,,,,,,,
Cooling Load (HSW 100),0,0,237.3875667,688.7170145,4624.661485,12039.35956,18765.34061,14501.15654,5530.251091,360.4774161,2.9307107,0
Heating Load,53341.86545,35663.81851,17440.65938,7942.225997,237.3875667,0,0,0,32.2378177,3763.032539,27029.94479,42568.57292
Heat Gain,3921.202995,7751.612573,17013.1273,23709.21511,31437.11823,34861.00893,39471.10478,33335.1344,21931.446,13419.81222,5975.367432,3711.334802
Heat Loss,20675.75369,16926.08519,14924.0874,12280.02952,10113.94124,7341.371689,6350.586323,7865.060384,10208.45666,13257.53877,16221.30788,20173.25403
,,,,,,,,,,,,
Cooling Load (HSW 350),0,0,310.6553342,1104.877934,6151.561759,13956.04435,20769.94673,16233.20657,6734.773189,477.7058441,2.9307107,0
Heating Load,52682.45554,34339.13727,15107.81366,5454.052613,131.8819815,0,0,0,20.5149749,2804.69014,26077.46381,41856.41022
