Quantity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Average Outdoor Air Dry Bulb (C),4.611111,3.722222,6.388889,7.444444,11.055556,14.222222,17.166667,16.277778,13.166667,9.888889,6.888889,5
DG Heat Gain (kBtu),18600.8,36355.5,82704.3,118185.2,156446.5,172062.3,193338,163525.6,107453.9,63327.9,27315.7,17481.3
DG Heat Loss (kBtu),102003.5,82539.4,72678.1,61104.3,50629.4,36039.5,31323.4,38464.1,49981.1,63881.3,78838.2,97734.1
DG Heat Gain (kWh),5451.355057,10654.74274,24238.23191,34636.65475,45849.9322,50426.47032,56661.761,47924.61112,31491.62193,18559.57098,8005.439515,5123.262072
DG Heat Loss (kWh),29894.26775,24189.9045,21299.84345,17907.89831,14838.00889,10562.13231,9179.980161,11272.71225,14648.01096,18721.75647,23105.19011,28643.03042
SG Heat Gain (kBtu),15972.7,30116.1,74686.8,107067.4,150099.8,170352.1,200005.8,167669.5,104945.5,58337.3,23223.3,15443.7
SG Heat Loss (kBtu),213184,167409.3,138530.1,120878.1,98471.8,68918,61621.2,73732.2,93695.4,118920.3,157119.2,193124.5
SG Heat Gain (kWh),4681.135162,8826.155543,21888.53516,31378.34999,43989.89849,49925.2603,58615.89981,49139.06804,30756.48263,17096.97085,6806.075754,4526.100603
SG Heat Loss (kWh),62478.04806,49062.81096,40599.15494,35425.86565,28859.2289,20197.86718,18059.38671,21608.76959,27459.40457,34852.09124,46047.08106,56599.19034
EC Heat Gain (kBtu),11755.2,21848,43987.8,59916.1,70288.1,77912.4,92189.7,76921.8,47236.8,31108.8,15407.4,10931.2
EC Heat Loss (kBtu),89231.8,72277,62310.7,51556.1,42574.4,31870.4,27579.2,33572.4,42736.7,53978.8,68771.6,85591.3
EC Heat Gain (kWh),3445.108219,6403.015208,12891.54853,17559.67134,20599.40376,22833.86498,27018.12757,22543.54885,13843.73621,9117.087125,4515.462125,3203.617715
EC Heat Loss (kWh),26151.25286,21182.29267,18261.45916,15109.59778,12477.32198,9340.289998,8082.663723,9839.09684,12524.88741,15819.6209,20154.96158,25084.32788
GC Heat Gain (kBtu),16336,30877.1,61724.8,84994,105530.4,116727.9,132177.3,111430.6,72312.3,44681.8,22078.5,14962.4
GC Heat Loss (kBtu),70676,57946.6,51299.5,42509.8,35247.2,25642.7,22123.5,27258.5,35292.1,45364.3,55483.4,68945.8
GC Heat Gain (kWh),4787.607856,9049.182574,18089.74886,24909.27657,30927.89986,34209.56238,38737.33349,32657.07737,21192.63807,13094.93981,6470.568074,4385.04553
GC Heat Loss (kWh) (22),20713.086,16982.46801,15034.39577,12458.3896,10329.93215,7515.131732,6483.756269,7988.675854,10343.09104,13294.96077,16260.57552,20206.01455
